block_num,txn_hash,token_x,token_y,sender,opt,opt_time,amount
4534869,0x2e25e0a7ee9f4b223791d708d500bd89c13c1dd36728cd472926e2991d388be1,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,add_liquidity,2022-03-05 09:32:19,"(180000000000000, 1799000000000000)"
4534896,0x4549d051da38c86c38f1a162952f3bee761876ac5cb20835666c2db93ea9cc7f,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 09:34:54,30
4534899,0x57853e49b45d407ab7a6f71ce20009b0b1089ccb78a4f8457dace4ea46c0c9dc,STC::STC,FAI::FAI,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 09:34:58,10
4534930,0x7b53b909435159fb675c444dabe193aed68bd52c21baf80a268678464ae4d9f7,STC::STC,STAR::STAR,0x8c109349c6bd91411d6bc962e080c4a3,activation,2022-03-05 09:37:39,"(True, b'')"
4534934,0x847e399b41e5d5ab00bfc0aefa78826798216df3102a5a427ad650d1a32dcf01,STC::STC,FAI::FAI,0x8c109349c6bd91411d6bc962e080c4a3,activation,2022-03-05 09:37:48,"(True, b'')"
4539000,0xd171b520f1d9cb0424a06112be816376d893d22be6604d4fb6db11837634c865,STC::STC,FAI::FAI,0xc2994c093ae3d677365247bacf1be62e,add_liquidity,2022-03-05 15:19:48,"(600000000000, 53963041714)"
4539117,0x2bf1e1bb421fdb347280b0b3659422cbfcecafbab0d506bc2f63839f23017fd4,STC::STC,STAR::STAR,0x8da6ffcecb172829ed8b32667dbe9441,add_liquidity,2022-03-05 15:29:15,"(6485601275, 25666032822)"
4539138,0x7661949fe5248342a36de3d8766cc5f035a953f7450902205c5cbc75fd3ba4d5,STC::STC,STAR::STAR,0x9749fb17f65fe5f5b83ded7b69436582,add_liquidity,2022-03-05 15:31:03,"(68360807261, 270530155723)"
4539170,0x2ab6e63a430fdba633803819728f31e64fddcb27bc26bb18bf75d3d5d4a3534a,STC::STC,STAR::STAR,0x8da6ffcecb172829ed8b32667dbe9441,add_liquidity,2022-03-05 15:33:51,"(49884734502, 197378422390)"
4539254,0x722fd526cd50419fd4cd51ea089fbb1b321f08e394956a2fe07754bbbbef11a6,STC::STC,STAR::STAR,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,add_liquidity,2022-03-05 15:40:50,"(12213245705163, 46378581356143)"
4539288,0x25c3a312a416642eaf4547ea2c7c30b54730678079efab0dc3be13c7b2730438,STC::STC,STAR::STAR,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,add_liquidity,2022-03-05 15:43:18,"(11169965249451, 40892476810411)"
4539315,0x46cfce15080da1dd04c863ded49f61d43804910426ed8aeb0c28f4a5cfd68490,FAI::FAI,STC::STC,0x0a6fbf3d68c68a0676e5ae90f180668a,add_liquidity,2022-03-05 15:45:29,"(374813261050, 4167444041038)"
4539339,0x4095d66da3a841e948235faa494d857aeacd1d86c2a10821ce485fc3cfa5b796,STC::STC,FAI::FAI,0x1963716286efa85f10e711394beb97a0,add_liquidity,2022-03-05 15:47:47,"(33356162714444, 3000000000000)"
4539416,0x8d3f13b4c5058b2c6bd5ad4a5a2c30912626ad022a5cb0a01e204ef30949396d,STC::STC,STAR::STAR,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,add_liquidity,2022-03-05 15:54:28,"(4014489588563, 14512032553071)"
