block_num,sender,opt,opt_time,token_x,token_y,amount
4535387,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,stake,2022-03-05 10:16:14,STC::STC,FAI::FAI,128306498993
4535393,0xc664acb6f912d8d2e4e19a965e385c63,stake,2022-03-05 10:17:03,STC::STC,FAI::FAI,12837893166691
4535398,0x91ac0ee4f6421421b07cd0d0d9d0ca73,stake,2022-03-05 10:17:40,STC::STC,FAI::FAI,13791734141827
4535407,0x5d2b0cd44dd24ab3c4f490dad0f1189d,stake,2022-03-05 10:18:17,STC::STC,STAR::STAR,2326991070115
4535414,0xf77d889d6677bf38f23b5584c69d1c3f,stake,2022-03-05 10:18:37,STC::STC,FAI::FAI,310615545021
4535415,0x535e864450f140b6ba4cebefc0827243,stake,2022-03-05 10:18:45,STC::STC,STAR::STAR,414523357180
4535426,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 10:19:40,STC::STC,FAI::FAI,6549036499384
4535435,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 10:20:39,STC::STC,STAR::STAR,4755323113
4535438,0xf77d889d6677bf38f23b5584c69d1c3f,stake,2022-03-05 10:20:53,STC::STC,STAR::STAR,742426624314
4535441,0x35312da024d45453b7f79d052f1b83aa,stake,2022-03-05 10:21:02,STC::STC,STAR::STAR,232317561091
4535451,0x5d2b0cd44dd24ab3c4f490dad0f1189d,stake,2022-03-05 10:21:41,STC::STC,FAI::FAI,1551805574609
4535464,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 10:23:11,STC::STC,FAI::FAI,6667173844043
4535465,0x26cceafbe90efbe454531e1bbda56989,stake,2022-03-05 10:23:14,STC::STC,STAR::STAR,31519531648172
4535480,0x99a2babc0cebd310720e887488a249e2,stake,2022-03-05 10:24:29,STC::STC,FAI::FAI,3091602195948
4535496,0x5d2b0cd44dd24ab3c4f490dad0f1189d,stake,2022-03-05 10:25:46,STC::STC,STAR::STAR,8629759675
4535524,0x04335f23862c189069639a1bfe651399,stake,2022-03-05 10:27:49,STC::STC,STAR::STAR,1233366135085
4535531,0x890c7d48c047d01dea2a06b9dd025032,stake,2022-03-05 10:28:26,STC::STC,FAI::FAI,2274377659533
4535545,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 10:29:47,STC::STC,FAI::FAI,6551822837710
4535556,0xd290d389077f6ba404520cf2a40a6f46,stake,2022-03-05 10:30:26,STC::STC,FAI::FAI,2274377659533
4535574,0x581367e9e962ee249fbd6e9ef3e0ff99,stake,2022-03-05 10:32:11,STC::STC,FAI::FAI,1630820031541
4535576,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 10:32:20,STC::STC,STAR::STAR,2400134285
4535577,0xa44004308188a371af871c32d3c93188,stake,2022-03-05 10:32:29,STC::STC,STAR::STAR,50512912999
4535589,0x6bf40816f188ba5a49c523d579d7442b,stake,2022-03-05 10:33:38,STC::STC,FAI::FAI,2283148044158
4535597,0x9749fb17f65fe5f5b83ded7b69436582,unstake,2022-03-05 10:34:09,STC::STC,FAI::FAI,3543358837945
4535638,0x04335f23862c189069639a1bfe651399,unstake,2022-03-05 10:37:29,STC::STC,STAR::STAR,1233366135085
4535639,0x49d57f18095a3efab174a2ccbc225d14,stake,2022-03-05 10:37:32,STC::STC,FAI::FAI,3387288960333
4535658,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 10:38:50,STC::STC,FAI::FAI,4563689223746
4535663,0xb01a3b6cd6a2beb1de4198e9c3f38ab4,stake,2022-03-05 10:39:31,STC::STC,FAI::FAI,1120916968342
