block_num,txn_hash,token_x,token_y,sender,opt,opt_time,amount_x,amount_y,real_x,real_y
4535222,0x6a8e39e5ff2af408b4466936b78de6772594bdf02c10a9e2f1aacdb1ccd92834,STC::STC,FAI::FAI,0x8769fe40ff8c86661e1a47b88017e7c5,add_liquidity,2022-03-05 10:02:52,6901685404633 ,700000000001 ,6901.685405,700
4535235,0xbe395566d8a1177b658d1ca4df13c418071741727168c6cb648866d521df1d8c,STC::STC,STAR::STAR,0x40a23a5490466de08ee93f1babe93a9d,remove_liquidity,2022-03-05 10:03:51,-6584696919922 ,-31942582445424 ,-6584.69692,-31942.58245
4535240,0x94fce4ff110fdfe11bb761b76e5415de8ed680fccf5a44bc14147a9a9f92fafb,STC::STC,FAI::FAI,0x08bf0cd79c484514cca26af5277f2310,add_liquidity,2022-03-05 10:04:28,498724103753 ,50534433580 ,498.7241038,50.53443358
4535240,0xa7c1a3c5ecaa5b2d7b35754b82981e8d934292335c8cfdd210d395d8ef17efa2,STC::STC,FAI::FAI,0x0a6fbf3d68c68a0676e5ae90f180668a,add_liquidity,2022-03-05 10:04:28,3405460985812 ,345066622410 ,3405.460986,345.0666224
4535247,0x522173fce0c9cd58dabed8d2e07e12500093bd0b2b67b3f654301b2f9dd3dc1a,STC::STC,FAI::FAI,0x298019b7255d997a73dc933a6b8ff514,add_liquidity,2022-03-05 10:04:42,986899562 ,100000000 ,0.986899562,0.1
4535250,0x8eddc061c0088bad692b9efa26792844e940d786b3f0721373ad05e326e686f0,STC::STC,STAR::STAR,0x0744f9f0867b8a47873e3a871d182fd6,remove_liquidity,2022-03-05 10:04:59,-1076833827955 ,-5252809116675 ,-1076.833828,-5252.809117
4535259,0xcce7c6028572e8d9fd403ebb5e9b027967bb3d1fae49f84a45d75e72ce6cdbf7,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 10:05:43,592139737311 ,60000000000 ,592.1397373,60
4535260,0xd6ba72529859458f5520c03a14331aaa87a63dbd608c7fb3ba4608924ef66aa7,STC::STC,STAR::STAR,0x1653056a78c051ddcf797318ae64beef,add_liquidity,2022-03-05 10:05:52,4985080281 ,24899335115 ,4.985080281,24.89933512
4535267,0x441dddd6c08158cb04a41b3d646d39722f415816fb8ef05821808d99b62c29de,STC::STC,STAR::STAR,0xeef563ec3e3547425f8ed3caf923c577,remove_liquidity,2022-03-05 10:06:26,-2256054429279 ,-12194909970549 ,-2256.054429,-12194.90997
4535273,0xdd831d8ff66130934aef0052043bffd1dad85b175a20b48646036f7229c321f8,STC::STC,STAR::STAR,0xe8983a9f192f1777f0d0bae1d1deb0e3,add_liquidity,2022-03-05 10:06:55,7385032281088 ,39536085700604 ,7385.032281,39536.0857
4535274,0x89e2cc1a56557ef56545b44a4133151c5d4f0dcab3d20eb00c3c5850a2baf641,STC::STC,STAR::STAR,0x581367e9e962ee249fbd6e9ef3e0ff99,add_liquidity,2022-03-05 10:06:59,1419620691873 ,7600000000000 ,1419.620692,7600
4535280,0x6da7c2720a423409829d04057a2ff76d121772fb48d0f3344eeccf860a1d3e8d,STC::STC,FAI::FAI,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022-03-05 10:07:38,59213973731 ,6000000000 ,59.21397373,6
4535291,0xc6dab35692033506e525b44b0e7ef6be10e2a19f73b2dec1dd07593ead47caa2,STC::STC,STAR::STAR,0x96e199f07e3f563629038010824537c9,add_liquidity,2022-03-05 10:08:29,1414286873153 ,7654000000000 ,1414.286873,7654
4535291,0xb4548ff104fbb51280deedfd9e383eec83115f6fc38921ce9aae54f99f8a9fc1,STC::STC,STAR::STAR,0xe8983a9f192f1777f0d0bae1d1deb0e3,add_liquidity,2022-03-05 10:08:29,1301660909632 ,7044477885957 ,1301.66091,7044.477886
4535307,0xa896052a564dc30fe60599fd9416b39d5c931443e737ccf9d4aa8f78ffcf62a1,STC::STC,STAR::STAR,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 10:09:35,281874338405 ,1530000000000 ,281.8743384,1530
4535308,0x9984cb41e36b537c22c8327892bb51c024e20757b6350d5c1f38a2054fb8b2bb,STC::STC,FAI::FAI,0x08bf0cd79c484514cca26af5277f2310,add_liquidity,2022-03-05 10:09:46,4504570213203 ,452786411494 ,4504.570213,452.7864115
4535316,0xb8a2f1db3d1877eec42289c46e44c804615c9c3a73c7061c3c2142901b77939b,STC::STC,STAR::STAR,0x5a5bdf7587386ed006fd17d375e54ce6,add_liquidity,2022-03-05 10:10:19,800000000000 ,4345823686668 ,800,4345.823687
4535326,0x7595c91b43a15ce0f5b476a19269d94dd76094924c2a583044a23952b3ab5a23,STC::STC,FAI::FAI,0xfaadbe019f379e850e5aceb4a68c4aaa,add_liquidity,2022-03-05 10:11:19,8438349138769 ,848198528303 ,8438.349139,848.1985283
4535331,0xe86bb9408b772142106f75da73d52298aa9ddf6498a8250392578a5953934031,STC::STC,FAI::FAI,0x40a23a5490466de08ee93f1babe93a9d,add_liquidity,2022-03-05 10:11:49,3170999837108 ,318739761872 ,3170.999837,318.7397619
4535331,0x27612374e7f0d0c02274635710958195e02eb1afd8fcffaf1e0f08a8748b50ad,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022-03-05 10:11:49,912523200459 ,5000000000000 ,912.5232005,5000
4535337,0xd48b13de6788bcb87aa96e5c171c6ee86e517154ca9b328a2a35086a1a2f4763,STC::STC,STAR::STAR,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,remove_liquidity,2022-03-05 10:12:44,-1019945219811 ,-5588598839447 ,-1019.94522,-5588.598839
4535339,0x439737fbc4bd334eabd67726c69e0ed4d18ebc64c08ce6d57b71c7dd38ebcc56,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:12:53,20290473607701 ,1969776316383 ,20290.47361,1969.776316
4535342,0x5f2c1d915dc6699e5a56d8c15aab2adc31666b91682c3a7b6abd3f294cdf7dd5,STC::STC,STAR::STAR,0x35312da024d45453b7f79d052f1b83aa,add_liquidity,2022-03-05 10:12:59,1825046400 ,10000000000 ,1.8250464,10
4535351,0xfc6e57728cc6e50c1d53b5acb7c092fdcb85df77417cb9261908194fa389cdb3,STC::STC,STAR::STAR,0x0a6fbf3d68c68a0676e5ae90f180668a,add_liquidity,2022-03-05 10:13:35,18057033381 ,100017308795 ,18.05703338,100.0173088
4535369,0x12eb332cdd3be26f56b2eedf832d5de992aae0a458d7672646427282ff861105,STC::STC,FAI::FAI,0xc664acb6f912d8d2e4e19a965e385c63,add_liquidity,2022-03-05 10:14:53,41206500100135 ,4000280602000 ,41206.5001,4000.280602
4535385,0x9ec5594ba9e78f7996c2e9aa20506889ff830710a83b88b2a0eb3c90f1430313,STC::STC,FAI::FAI,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,add_liquidity,2022-03-05 10:15:59,411832509829 ,39980236039 ,411.8325098,39.98023604
4535391,0x50149183efeb0ad2cf4e35e9a485e41d3bb2cee5bdc23ac92049877cf238866d,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022-03-05 10:16:47,1795473860600 ,10000000000000 ,1795.473861,10000
4535393,0x58b9a9d891c450c88dd0dd8f1d3a6fb72aa9d35a86dfe89bab0f41499c9a47ba,STC::STC,FAI::FAI,0x91ac0ee4f6421421b07cd0d0d9d0ca73,add_liquidity,2022-03-05 10:17:03,44304386981018 ,4301019969980 ,44304.38698,4301.01997
4535397,0x307b1a681adbb48c012e514bef8258ac09da8d7c29b1658841ae1daf49ba7b48,STC::STC,STAR::STAR,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022-03-05 10:17:22,538642158 ,3000000000 ,0.538642158,3
4535398,0xb7a1f85f0855b3d6bafff6898c916146fe503efee3224750cf50cb0a962652d5,STC::STC,STAR::STAR,0x535e864450f140b6ba4cebefc0827243,add_liquidity,2022-03-05 10:17:40,175894650446 ,979655868606 ,175.8946504,979.6558686
4535399,0x4d212d7c63495d690142848f51ced187b59831fe0504445ce12a63cb73dfcff5,STC::STC,FAI::FAI,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022-03-05 10:17:51,5158888646 ,500000000 ,5.158888646,0.5
4535400,0x4fd9166073884ca365e86a9512f564309912279ea5e880fe5c84feb4829951d4,STC::STC,FAI::FAI,0xf77d889d6677bf38f23b5584c69d1c3f,add_liquidity,2022-03-05 10:17:56,997817327942 ,96708554526 ,997.8173279,96.70855453
4535400,0x37418727974229507b4cb3d734c6143b654df723e42026078feba6559a3a2be9,STC::STC,STAR::STAR,0x5d2b0cd44dd24ab3c4f490dad0f1189d,add_liquidity,2022-03-05 10:17:56,989306097190 ,5510000000000 ,989.3060972,5510
4535402,0x89ca11f4b446dc75d31ab44c67d74664a7566a7884b9a1e90baa3d1102e49aaf,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022-03-05 10:18:02,3590947721200 ,20000000000000 ,3590.947721,20000
4535419,0x44f9fceb825605e6fc5638ea2b6793dfeba456ae329683d3b6baafe4998390ae,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:18:57,21038039483499 ,2039008876209 ,21038.03948,2039.008876
4535428,0x255a450206518a6298edc681798975830fa9414d9b80e1a9f0615dc887a36333,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022-03-05 10:19:58,3680147801121 ,20000000000000 ,3680.147801,20000
4535433,0xdd0e6136759b2ab2a2625d7557586fa0f452f47581dfdaae83ab333a4b7f881c,STC::STC,STAR::STAR,0x35312da024d45453b7f79d052f1b83aa,add_liquidity,2022-03-05 10:20:16,99934433803 ,541654270861 ,99.9344338,541.6542709
4535433,0x09507f8fd8cb2c7c344493d44b93d3b17948ca78be946381f4f5afe1376c33af,STC::STC,STAR::STAR,0xf77d889d6677bf38f23b5584c69d1c3f,add_liquidity,2022-03-05 10:20:16,319342502998 ,1730986456512 ,319.342503,1730.986457
4535437,0xccc6b03a96fcb9979ba3d9885e50d21fe012a35be696efce43e968749d2f12e8,STC::STC,STAR::STAR,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022-03-05 10:20:49,3506971630320 ,19009434505128 ,3506.97163,19009.43451
4535445,0x563ab0302c610a20673f94b2733dc270cafa3098f3a2590f60811f6751984967,STC::STC,FAI::FAI,0x5d2b0cd44dd24ab3c4f490dad0f1189d,add_liquidity,2022-03-05 10:21:21,5004363627099 ,481281890090 ,5004.363627,481.2818901
4535455,0x9d7b08e3236f8ba5cecde7cce4c09f5e8cd6deb5ffdcc76fdb5cdaa860922bb0,STC::STC,FAI::FAI,0x99a2babc0cebd310720e887488a249e2,add_liquidity,2022-03-05 10:22:31,10046857014904 ,951522509066 ,10046.85701,951.5225091
4535456,0xfc631c68d5299b6066302ba1ab5f660dcfc7be5be6bfafd7e7f7c69ab03cbd99,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:22:35,21666481668422 ,2051999443128 ,21666.48167,2051.999443
4535485,0x5ece7dde8bb40d79985261e2c49ad552985740b71370eb02ad19b93fccff4c53,STC::STC,STAR::STAR,0x5d2b0cd44dd24ab3c4f490dad0f1189d,add_liquidity,2022-03-05 10:24:57,3734372141 ,20000000000 ,3.734372141,20
4535518,0xd05347720c9bf6bc1e4d3b5dcfea63ea78dfb7ef6f4c78448820aa84976f273f,STC::STC,STAR::STAR,0x04335f23862c189069639a1bfe651399,add_liquidity,2022-03-05 10:27:23,532890963833 ,2862843157435 ,532.8909638,2862.843157
4535526,0x72d1e2acecb8df463cc4ec69af9d2f2e19a24eb4c3ccc1ca45d832fca925f535,STC::STC,FAI::FAI,0x890c7d48c047d01dea2a06b9dd025032,add_liquidity,2022-03-05 10:28:03,7391101990153 ,700000000000 ,7391.10199,700
4535538,0x0f4680e19aa2416e182bf9790a7927fdbc54eca615589c844384b6631cf9e14f,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:29:09,21291622616808 ,2016497113911 ,21291.62262,2016.497114
4535550,0xecdc609e1aa020b301234cb90d8021fe042cb9c73ce79688c772d999f1c25c27,STC::STC,FAI::FAI,0xd290d389077f6ba404520cf2a40a6f46,add_liquidity,2022-03-05 10:30:04,7391101990153 ,700000000000 ,7391.10199,700
4535566,0x55f54a3a3e8dbb9d2de9d6efcd354ce0197e4c9dd1876085a28e6af241f8d382,STC::STC,FAI::FAI,0x581367e9e962ee249fbd6e9ef3e0ff99,add_liquidity,2022-03-05 10:31:11,5320204511581 ,500000000000 ,5320.204512,500
4535570,0x644a51768de00c10130a9a1950aae62a1c93944d6b40627d13f278c67567e56c,STC::STC,STAR::STAR,0xa44004308188a371af871c32d3c93188,add_liquidity,2022-03-05 10:31:46,21824723518 ,117248676797 ,21.82472352,117.2486768
4535584,0xc2924b6fc5729b7ebecc6dca7917681026380b23bfcf0817324526ba9dd0920e,STC::STC,FAI::FAI,0x6bf40816f188ba5a49c523d579d7442b,add_liquidity,2022-03-05 10:32:57,7448286316213 ,700000000000 ,7448.286316,700
4535591,0x3764226cbe75cbabe8d83e9735407d57e2de99e84ea8b6e137bf97052c151ca4,STC::STC,FAI::FAI,0xb01a3b6cd6a2beb1de4198e9c3f38ab4,add_liquidity,2022-03-05 10:33:53,3656753900953 ,343666666666 ,3656.753901,343.6666667
4535604,0x2b5c799b87d2f663ab1f024e559e875426fb51d48d122865f7a9f9e80f1c1bfb,STC::STC,FAI::FAI,0x9749fb17f65fe5f5b83ded7b69436582,remove_liquidity,2022-03-05 10:34:33,-11559456783182 ,-1086373348808 ,-11559.45678,-1086.373349
4535629,0x02e12d469a949e5d8fbdc5ffe816be9c3df826d71944043572c87a9e86e97061,STC::STC,FAI::FAI,0x49d57f18095a3efab174a2ccbc225d14,add_liquidity,2022-03-05 10:36:49,11055896016729 ,1038000000000 ,11055.89602,1038
4535646,0xbf50b82c3c5cef770a7fac4886e9f365efd02b8a2a5c49e8c85730b8eb3f23eb,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:37:56,14895591755311 ,1398495808808 ,14895.59176,1398.495809
4535663,0x0127bf9c1ee649517b06a65587ee7bb2f065ffdb0aaa992e412e60da9bc5b7bd,STC::STC,STAR::STAR,0x9749fb17f65fe5f5b83ded7b69436582,add_liquidity,2022-03-05 10:39:31,21127515663817 ,96824225720577 ,21127.51566,96824.22572
4535683,0xad0a89e7285c154593346b28640b4d0381e7fe67fded4a62e529bad41e1e0b13,STC::STC,STAR::STAR,0x04335f23862c189069639a1bfe651399,remove_liquidity,2022-03-05 10:41:07,-580617093593 ,-2628316639391 ,-580.6170936,-2628.316639
4535697,0xf30fa4a8e07f1c86d6b58d5f981e877272b434ac645ee734f3702a3e774cb060,STC::STC,STAR::STAR,0xe34fdec2d1dfc69064bb203b129818a3,add_liquidity,2022-03-05 10:42:21,999534772675 ,4501187232855 ,999.5347727,4501.187233
4535732,0xc5a904659a178eebf26248b792659abd6d28e9c84f650db035e28852827a69d0,STC::STC,STAR::STAR,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,add_liquidity,2022-03-05 10:45:25,1699495480035 ,7653307884983 ,1699.49548,7653.307885
4535747,0x91a4ccaebee0e93a9095bd3a573ee400e1a4f6e3db7455e28d798b30e152d4c6,STC::STC,STAR::STAR,0xe34fdec2d1dfc69064bb203b129818a3,add_liquidity,2022-03-05 10:46:40,4028153371845 ,17771473624754 ,4028.153372,17771.47362
4535760,0x6c71f4f93096bd6ef0ed9ed4a544cddbf8c9f443e0e673db8f0186249ebc2802,STC::STC,FAI::FAI,0x16c18267bc7066489b300ea431c08ee9,add_liquidity,2022-03-05 10:47:49,106511522319 ,10000000000 ,106.5115223,10
4535765,0x806bfbc627f8d2e8915785e9104a45a39698eb344c81debdc0d8fa555ba63626,STC::STC,FAI::FAI,0x236e3246c470de88dcf2657579d0ad60,add_liquidity,2022-03-05 10:48:23,734929504002250 ,69000000000000 ,734929.504,69000
4535810,0x5c26cebda16273b7148cc71de71dbf47d9b29f72bcefe31c625b4b2beb1b21b6,STC::STC,STAR::STAR,0xb01a3b6cd6a2beb1de4198e9c3f38ab4,add_liquidity,2022-03-05 10:51:57,822797376832 ,3642926207795 ,822.7973768,3642.926208
4535819,0x2bc33d960b2786b5ea7e685e78e71d96dc563342cdab7021f2f30d114bf570f1,STC::STC,STAR::STAR,0xd4aebcce7cbac2c6823c073e4aaa5450,add_liquidity,2022-03-05 10:53:03,230000000000 ,1017161667466 ,230,1017.161667
4535822,0x82b57d8a461acf3c8f86022d2d94f313c6ef3189a510c9f45ed9ba33440726cd,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 10:53:13,2130230446394 ,200000000001 ,2130.230446,200
4535840,0xb372b51e4fa0a6278e23fed84c449ac9bb4765b24148bb8c953f0bb7c8ccf6ca,STC::STC,STAR::STAR,0x4d676da54966d8f7c6c976df744c7472,add_liquidity,2022-03-05 10:54:14,418176742835 ,94557879959 ,418.1767428,94.55787996
